name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
Gordelpad,"[724761993, 70130118]",living_street,False,28.746999999999996,,"LINESTRING (4.4607517 51.9369284, 4.4608085 51.9368974, 4.4608718 51.9368628, 4.460889 51.9368493, 4.4609075 51.9368346, 4.4610239 51.9367698, 4.4610326 51.9367623, 4.461049 51.9367475)",15,,,,,,837687723,837687789,0,False,
Van Bassenstraat,853301316,unclassified,True,43.059,,"LINESTRING (4.5416314 51.9406963, 4.5410237 51.9405983)",,,,,,,44505517,44505031,0,False,
Salomon de Braystraat,7315798,residential,False,140.702,,"LINESTRING (4.5416314 51.9406963, 4.5418339 51.9402232, 4.5418891 51.9400935, 4.5420159 51.9397955, 4.5421538 51.9394726)",30,,,,,,44505517,44499559,0,False,
Remmet van Milplaats,7315438,residential,False,39.325,,"LINESTRING (4.5470666 51.9407827, 4.5466309 51.9407093, 4.5465132 51.9406895)",,,,,,,44505519,759531949,0,False,
"['Otto Verdoornplaats', 'Remmet van Milplaats']","[80812426, 7315438]","['unclassified', 'residential']",False,125.17999999999999,,"LINESTRING (4.5470666 51.9407827, 4.5473701 51.9400253, 4.5469494 51.9399542, 4.5468304 51.9399319)",,,,,,,44505519,759531941,0,True,
"['Etienne de Bouterstraat', 'Remmet van Milplaats']","[160331100, 7315406]",residential,False,88.36399999999999,,"LINESTRING (4.5470666 51.9407827, 4.5473084 51.9408212, 4.5470848 51.9413253, 4.5470718 51.9413234, 4.5468982 51.9412985)",,,,,,,44505519,44508557,0,True,
Berlagestraat,327158073,residential,False,90.585,,"LINESTRING (4.5507952 51.9407282, 4.5504656 51.9415171)",30,,,,,,44505520,44509666,0,False,
Berlagestraat,327158073,residential,False,24.256,,"LINESTRING (4.5507952 51.9407282, 4.5508862 51.9405174)",30,,,,,,44505520,44504581,0,False,
Kurt Callostraat,7315412,unclassified,False,30.536,,"LINESTRING (4.5507952 51.9407282, 4.5506139 51.9406987, 4.5504802 51.9406769, 4.5503645 51.9406581)",,,,,,,44505520,6775514317,0,False,
Lilian Ngoyiweg,357374428,residential,False,60.612,,"LINESTRING (4.5562259 51.921911, 4.557104 51.921973)",,,,,,,44407216,44407244,0,False,
Chico Mendesstraat,7315033,residential,False,37.955000000000005,,"LINESTRING (4.5562259 51.921911, 4.5562035 51.9220347, 4.5561999 51.9220547, 4.5561741 51.9222025, 4.5561656 51.9222503)",,,,,,,44407216,44408324,0,False,
Lilian Ngoyiweg,357374428,residential,False,59.826,,"LINESTRING (4.5562259 51.921911, 4.5559637 51.921903, 4.5559175 51.9219047, 4.555882 51.9219071, 4.5558514 51.9219103, 4.5553649 51.9219725)",,,,,,,44407216,44407233,0,False,
Spiegelstraat,7531365,residential,True,105.04,,"LINESTRING (4.4356181 51.9183635, 4.4348341 51.919175)",,,,,,,44390837,44394026,0,False,
Brederodestraat,647617211,residential,True,131.772,,"LINESTRING (4.4356181 51.9183635, 4.4359663 51.9188915, 4.4363098 51.9194689)",,,,,,,44390837,44395367,0,False,
Burgemeester Meineszlaan,7530509,residential,False,94.382,,"LINESTRING (4.4519073 51.9184463, 4.4507844 51.918937)",30,,,,,,44390838,44393130,0,False,
Burgemeester Meineszlaan,7530509,residential,False,79.651,,"LINESTRING (4.4519073 51.9184463, 4.4528337 51.9180143)",30,,,,,,44390838,44389599,0,False,
Gordelpad,"[70130123, 467196428]",living_street,False,25.236,,"LINESTRING (4.4530811 51.9340795, 4.4532933 51.9341575, 4.4533972 51.9341958)",15,,,,,,837687736,837687878,0,False,
Keulenhof,"[7311762, 7311763]",residential,False,79.72399999999999,,"LINESTRING (4.5590299 51.9407771, 4.5588347 51.9407466, 4.5587399 51.9409699, 4.5589506 51.9410004, 4.5590299 51.9407771)",30,,,,,,44505529,44505529,0,False,
Keulenhof,"[7311762, 7311763]",residential,False,79.724,,"LINESTRING (4.5590299 51.9407771, 4.5589506 51.9410004, 4.5587399 51.9409699, 4.5588347 51.9407466, 4.5590299 51.9407771)",30,,,,,,44505529,44505529,1,False,
Keulenhof,"[94152819, 94152806, 487734703]","['unclassified', 'residential']",False,62.266000000000005,yes,"LINESTRING (4.5590299 51.9407771, 4.5590846 51.9407052, 4.5592158 51.9405708, 4.5593259 51.9402543)",30,,,,,,44505529,44503181,0,False,
G.J. de Jonghweg,"[53213690, 48377514, 66676468]",tertiary,True,358.5419999999999,,"LINESTRING (4.4600354 51.9100091, 4.4604169 51.9099793, 4.4605031 51.9099694, 4.4605893 51.9099561, 4.4607162 51.9099368, 4.460828 51.9099156, 4.461304 51.909819, 4.4614125 51.9097989, 4.4615043 51.9097806, 4.4622193 51.9096332, 4.4626237 51.9095512, 4.4627966 51.9095159, 4.4628599 51.9095007, 4.4629092 51.9094854, 4.4629746 51.9094602, 4.4630332 51.9094326, 4.4630811 51.9094081, 4.463122 51.9093824, 4.4631685 51.9093419, 4.4632337 51.9092691, 4.4633572 51.9090939, 4.4636654 51.9086323, 4.4637568 51.9084918, 4.4637922 51.9084373, 4.4638146 51.9083893, 4.463841 51.9083506, 4.463865 51.9083155, 4.4638858 51.908285, 4.4638904 51.9082783)",50,,,,,,614472122,44342667,0,False,
